Model_Key,Model_Type,Privacy_Approach,Epsilon,Privacy_Category,Noise_Type,MSE,RMSE,MAE
Hybrid_eps_0.1,hybrid,user_level,0.1,High Privacy,gaussian,4628061533840.866,2151292.9911662117,1300050.8567197109
Hybrid_eps_1.0,hybrid,user_level,1.0,Medium Privacy,laplace,4107794372960.2583,2026769.4424774265,1266289.3549266227
Hybrid_eps_10.0,hybrid,user_level,10.0,Medium Privacy,laplace,1959410673654.7605,1399789.5104817583,800691.9345750327
Hybrid_baseline,hybrid,none,inf,No Privacy,none,770410684720.4043,877730.416882316,542579.3964949202
Interaction_eps_0.1,interaction,user_level,0.1,High Privacy,gaussian,4623467793010.657,2150225.0563628585,1320843.3837183765
Interaction_eps_1.0,interaction,user_level,1.0,Medium Privacy,laplace,4191095362454.129,2047216.4913496885,1282470.6678271296
Interaction_eps_10.0,interaction,user_level,10.0,Medium Privacy,laplace,1936329463967.2515,1391520.5582265938,768665.4765743755
Interaction_baseline,interaction,none,inf,No Privacy,none,765957346965.4756,875189.8919465853,549531.9235989179
Linear_eps_0.1,linear,user_level,0.1,High Privacy,gaussian,4630862812637.815,2151943.9613144705,1329920.6984971066
Linear_eps_1.0,linear,user_level,1.0,Medium Privacy,laplace,4334558238613.368,2081960.1914093767,1274061.954051013
Linear_eps_10.0,linear,user_level,10.0,Medium Privacy,laplace,2575797677599.874,1604929.1814905335,832130.129321024
Linear_baseline,linear,none,inf,No Privacy,none,1455772979172.3374,1206554.175813228,723524.8985740762
Quadratic_eps_0.1,quadratic,user_level,0.1,High Privacy,gaussian,4736375998929.783,2176321.6671553366,1429773.3625243003
Quadratic_eps_1.0,quadratic,user_level,1.0,Medium Privacy,laplace,4277515041218.691,2068215.4242773384,1339766.5896070253
Quadratic_eps_10.0,quadratic,user_level,10.0,Medium Privacy,laplace,2218857551017.548,1489583.0124627321,806861.1705174034
Quadratic_baseline,quadratic,none,inf,No Privacy,none,2868684706724.2764,1693719.193586787,1345673.117902389
