Model,MSE,RMSE,MAE
Basic Linear,1937539991201.1523,1391955.4558969021,755065.4645353233
Quadratic,1506189795956.3926,1227269.2434655048,683787.8681436433
Interaction,1726379571515.6992,1313917.6425924492,711014.9866577064
Hybrid,1827941030379.281,1352013.6945975367,744632.7625434799
baseline,1918796235005.8796,1385206.2066731723,748587.7509589373
Basic Linear_epsilon_0.1,3621694794305.816,1903075.0889825171,1372564.1152681112
Quadratic_epsilon_0.1,3626295750134.614,1904283.5267193313,1369416.67091637
Interaction_epsilon_0.1,3613776632562.1934,1900993.5908787786,1371281.9126310467
Hybrid_epsilon_0.1,3613843121250.3643,1901011.078676388,1367941.7625659523
Basic Linear_epsilon_1.0,3465912870766.523,1861696.234826327,1306279.4824078083
Quadratic_epsilon_1.0,3433755198224.5063,1853039.4486422858,1304302.8619234287
Interaction_epsilon_1.0,3450341142365.4204,1857509.392268427,1301217.0012401794
Hybrid_epsilon_1.0,3425687885713.901,1850861.3901948198,1303791.2241670005
Basic Linear_epsilon_10.0,1827403918440.9023,1351815.0459441196,967132.1877640714
Quadratic_epsilon_10.0,1702593781266.4395,1304834.771634493,891322.1316869367
Interaction_epsilon_10.0,1602751946941.547,1265998.399265002,883658.9914319918
Hybrid_epsilon_10.0,1849289947848.4536,1359886.0054609186,969309.1452359795
